instruction, match_string, imm_type, alu_funct, alu_op1_sel, alu_op2_sel, branch_cond, wb_active, wb_source, binit, bwait, yield, mem_active, mem_loadstore, mem_opsize, mem_extendmode, is_jalr

'OP-type instructions
ADD,  0000000_?????_?????_000_?????_01100, x, ADD, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,0
SUB,  0100000_?????_?????_000_?????_01100, x, SUB, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,0
SLL,  0000000_?????_?????_001_?????_01100, x, SLL, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,0
SLT,  0000000_?????_?????_010_?????_01100, x, SLT, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,0
SLTU, 0000000_?????_?????_011_?????_01100, x, SLTU, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,0
XOR,  0000000_?????_?????_100_?????_01100, x, XOR, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,0
SRL,  0000000_?????_?????_101_?????_01100, x, SRL, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,0
SRA,  0100000_?????_?????_101_?????_01100, x, SRA, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,0
OR,   0000000_?????_?????_110_?????_01100, x, OR, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,0
AND,  0000000_?????_?????_111_?????_01100, x, AND, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,0

'OP-IMM-type instructions
ADDI, ???????_?????_?????_000_?????_00100, I, ADD, RS1, IMM, NEVER, 1, ALU, 0,0,0,0,x,x,x,0
SLLI, 0000000_?????_?????_001_?????_00100, I, SLL, RS1, IMM, NEVER, 1, ALU, 0,0,0,0,x,x,x,0
SLTI, ???????_?????_?????_010_?????_00100, I, SLT, RS1, IMM, NEVER, 1, ALU, 0,0,0,0,x,x,x,0
SLTIU,???????_?????_?????_011_?????_00100, I, SLTU, RS1, IMM, NEVER, 1, ALU,0,0,0,0,x,x,x,0
XORI, ???????_?????_?????_100_?????_00100, I, XOR, RS1, IMM, NEVER, 1, ALU, 0,0,0,0,x,x,x,0
SRLI, 0000000_?????_?????_101_?????_00100, I, SRL, RS1, IMM, NEVER, 1, ALU, 0,0,0,0,x,x,x,0
SRAI, 0100000_?????_?????_101_?????_00100, I, SRA, RS1, IMM, NEVER, 1, ALU, 0,0,0,0,x,x,x,0
ORI,  ???????_?????_?????_110_?????_00100, I, OR, RS1, IMM, NEVER, 1, ALU, 0,0,0,0,x,x,x,0
ANDI, ???????_?????_?????_111_?????_00100, I, AND, RS1, IMM, NEVER, 1, ALU, 0,0,0,0,x,x,x,0

'Branch operations
BEQ,  ???????_?????_?????_000_?????_11000, B, SUB, RS1, RS2, ZERO, 0, x, 0,0,0,0,x,x,x,0
BNE,  ???????_?????_?????_001_?????_11000, B, SUB, RS1, RS2, NONZERO, 0, x, 0,0,0,0,x,x,x,0
BLT,  ???????_?????_?????_100_?????_11000, B, SLT, RS1, RS2, ZERO, 0, x, 0,0,0,0,x,x,x,0
BGE,  ???????_?????_?????_101_?????_11000, B, SLT, RS1, RS2, NONZERO, 0, x, 0,0,0,0,x,x,x,0
BLTU, ???????_?????_?????_110_?????_11000, B, SLTU, RS1, RS2, ZERO, 0, x, 0,0,0,0,x,x,x,0
BGEU, ???????_?????_?????_111_?????_11000, B, SLTU, RS1, RS2, NONZERO, 0, x, 0,0,0,0,x,x,x,0

'Jump operations
JAL,  ???????_?????_?????_???_?????_11011, J, x, x, x, ALWAYS, 1, PC_P4, 0,0,0,0,x,x,x,0
JALR, ???????_?????_?????_000_?????_11001, I, ADD, RS1, IMM, COALESCE, 1, PC_P4, 0,0,0,0,x,x,x,1

'LUI and AUIPC
LUI,  ???????_?????_?????_???_?????_01101, U, OP2, x, IMM, NEVER, 1, ALU, 0,0,0,0,x,x,x,0
AUIPC,???????_?????_?????_???_?????_00101, U, ADD, PC, IMM, NEVER, 1, ALU, 0,0,0,0,x,x,x,0

'Memory operations
LB,   ???????_?????_?????_000_?????_00000, I, ADD, RS1, IMM, NEVER, 1, MEM, 0,0,0,1,LOAD,BYTE,SIGN,0
LH,   ???????_?????_?????_001_?????_00000, I, ADD, RS1, IMM, NEVER, 1, MEM, 0,0,0,1,LOAD,HALF,SIGN,0
LW,   ???????_?????_?????_010_?????_00000, I, ADD, RS1, IMM, NEVER, 1, MEM, 0,0,0,1,LOAD,WORD,x,0
LBU,  ???????_?????_?????_100_?????_00000, I, ADD, RS1, IMM, NEVER, 1, MEM, 0,0,0,1,LOAD,BYTE,ZERO,0
LHU,  ???????_?????_?????_101_?????_00000, I, ADD, RS1, IMM, NEVER, 1, MEM, 0,0,0,1,LOAD,HALF,ZERO,0
SB,   ???????_?????_?????_000_?????_01000, S, ADD, RS1, IMM, NEVER, 0, x, 0,0,0,1,STORE,BYTE,x,0
SH,   ???????_?????_?????_001_?????_01000, S, ADD, RS1, IMM, NEVER, 0, x, 0,0,0,1,STORE,HALF,x,0
SW,   ???????_?????_?????_010_?????_01000, S, ADD, RS1, IMM, NEVER, 0, x, 0,0,0,1,STORE,WORD,x,0

'Barrier operations
BINIT,1000000_?????_?????_???_?????_00010, x, x, x, x, NEVER, 0, x, 1,0,0,0,x,x,x,0
BWAIT,0100000_?????_?????_???_?????_00010, x, x, x, x, NEVER, 0, x, 0,1,0,0,x,x,x,0
YIELD,0010000_00000_00000_000_00000_00010, x, x, x, x, NEVER, 0, x, 0,0,1,0,x,x,x,0

'CSR operations
CSR_MHARTID,1111000_10100_?????_???_?????_11100, x, HARTID, x, x, NEVER, 1, ALU, 0,0,0,0,x,x,x,0
CSR_OTHER,???????_?????_?????_???_?????_11100, x, ZERO, x, x, NEVER, 1, ALU, 0,0,0,0,x,x,x,0

'FENCE operations (NOP)
FENCE, ????????????_?????_000_?????_00011, x, x, x, x, NEVER, 0, x, 0, 0, 0, 0, x, x, x, 0

'Zicond operations
CZERO_EQZ, 0000111_?????_?????_101_?????_01100, x, CZERO_EQZ, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,0
CZERO_NEZ, 0000111_?????_?????_111_?????_01100, x, CZERO_NEZ, RS1, RS2, NEVER, 1, ALU, 0,0,0,0,x,x,x,0
